original_name,employer_alt_name,search_term,outsourcing,top_outsourcing,employee_count,in_market_cap_data,employer,tech,notes
Marvell Technology Group,,marvell tech,0,0,7418,1,Marvell Technology Group,,
Airbnb,,\bairbnb\b,0,0,6811,1,Airbnb,,
ASM International,,\basm\b,0,0,4258,1,ASM International,,
Monolithic Power Systems,,monolithic power,0,0,3247,1,Monolithic Power Systems,,
Kforce,,\bkforce\b,1,1,1800,1,Kforce,,
Deloitte Consulting,,deloitte,1,1,4064,0,Deloitte Consulting,,
Ernst & Young,,ernst\s?(?:&|and)?\s?young,1,1,395442,0,Ernst & Young,,
Pricewaterhouse Coopers,,pricewaterhouse|pwc,1,1,364000,0,Pricewaterhouse Coopers,,
Syntel Consulting,,syntel,1,1,,0,Syntel Consulting,,
Computer Sciences,,computer sciences corporation,1,1,66250,0,Computer Sciences,,
iGate,,\bigate\b,1,1,,0,iGate,,Acquired by Capgemini in 2015
UST,,\bust\b\sglobal,1,1,30000,0,UST,,
Compunnel,,compunnel,1,0,3000,0,Compunnel,,
KPMG,,kpmg,1,1,273424,0,KPMG,,
Hexaware Technologies,,hexaware,1,1,28000,0,Hexaware Technologies,,
Virtusa,,virtusa,1,1,33000,0,Virtusa,,
Synechron,,synechron,1,1,14700,0,Synechron,,
L&T Technology Services,,l(?:&|\s)t tech,1,1,,1,L&T Technology Services,,
HTC Global Services,,\bhtc\b,1,1,11000,0,HTC Global Services,,
Covansys Corporation,,covansy,1,1,8200,0,Covansys Corporation,,
McKinsey & Company,,mckinsey,0,0,,0,McKinsey & Company,,
Eficens,,eficens,0,0,,0,Eficens,,
Fidelity Investments,,fidelity invest,0,0,,0,Fidelity Investments,,
Bloomberg,,bloomberg,0,0,,0,Bloomberg,,
Optum,,optum,0,0,,0,Optum,,
ByteDance,,bytedance,0,0,,0,ByteDance,,
Anthem,,anthem inc,0,0,,0,Anthem,,
Samsung,,samsung,0,0,7890,1,Samsung,,
TSMC,,TSMC,0,0,7889,1,TSMC,,
